"classe","codigo","vm","gc","lc","roe","divbr_pl","ll","ll_cresc","p_vpa","pl","ret_anual"
"ON","EZTC3",2963432.02263333,TRUE,4.8862504912,13.4123012005,7.0124213803,TRUE,FALSE,1.13089845952333,9.85911691456667,-1.39055851098501
"ON","WSON33",2769609.33333333,FALSE,1.68390051213333,11.10795568455,65.7326849325,TRUE,FALSE,1.5457506229,12.8846597473333,16.9159063489591
"ON","CSRN3",2752127.12153333,FALSE,0.905466172456667,23.3484106305,171.56532591,TRUE,FALSE,3.2172321793,14.463037696,24.1344696113464
"ON","MYPK3",2568897.18,TRUE,1.01502135227333,3.18163542265,100.83101233,TRUE,FALSE,1.05515920348667,247.636692245333,-1.01643239301163
"ON","TUPY3",2489473.46666667,TRUE,1.93441221783333,8.3921148273,75.6247032605,FALSE,FALSE,1.20908075175667,7.832774985,6.47078891522777
"ON","QGEP3",2428531.62443333,TRUE,6.092316637,14.069136111,10.36870119,TRUE,TRUE,0.811802602206667,7.66004495406667,4.97174038756056
"ON","MAGG3",2349627.0874,TRUE,1.3507007342,-9.1019769864,124.397369405,FALSE,FALSE,1.18175876193333,-9.8701330886,16.8587944516197
"ON","DMMO3",2222091.83134,FALSE,1.024380044411,-429.14894128,0,FALSE,FALSE,5.1763591493,-0.618937188036667,NA
"ON","BEEF3",2183836.50513333,TRUE,1.85696703576667,-394.8998973,6242.7736713,FALSE,FALSE,12.4351291137,1.46208113836667,-10.2526803879004
"ON","PNVL3",2050055.9957,FALSE,1.68649936343333,13.7337317935,35.5092469745,TRUE,TRUE,5.24462048843333,37.9550840613333,NA
"ON","OMGE3",1991998,TRUE,1.66542579433333,5.65515681455,105.6196164,FALSE,TRUE,1.14047579165,14.6853398695,NA
"ON","MOAR3",1896413.96333333,FALSE,3.6519179624,10.869673738,4.8617249153,FALSE,FALSE,1.49928528586667,10.9772114924,NA
"ON","STBP3",1888710.12,TRUE,1.2277069448,-0.06628849842,16.980176853,FALSE,FALSE,1.40406944796667,6.05851107999999,NA
"ON","BSEV3",1857866.65964333,TRUE,0.997529629713333,-140.98834851,180.205597665,FALSE,FALSE,-0.231179859106667,-2.75439444491667,-19.407285572092
"ON","UNIP3",1823980.59432,FALSE,1.17858174669333,33.8880173515,91.208980841,TRUE,TRUE,1.61485323309667,4.57882870206667,69.967141798227
"ON","SCAR3",1822280.3,TRUE,2.38272280623333,8.4027774662,98.7385981645,TRUE,FALSE,1.31628052453333,17.638729072,-3.68262653739049
"ON","RAPT3",1789012.88333333,TRUE,2.15477414176667,7.0670648296,120.328078135,FALSE,FALSE,0.990021680686667,14.211445175,-6.7975304341652
"ON","WIZS3",1772305.7088,TRUE,0.98347884388,98.411631279,0,TRUE,TRUE,12.7732688945667,11.5558523616667,NA
"ON","LCAM3",1723581.21927,TRUE,1.08044906606,9.61085343515,256.029233095,TRUE,TRUE,2.6423151649,24.113637571,31.5022364843029
"ON","GBIO33",1686269.5376,FALSE,1.9728825323,5.65130003115,38.566158771,TRUE,FALSE,2.7906566939,69.9946030135,NA
